ID,Prof,Rating_Weight_1,Rating_Weight_2,Rating_Weight_3,Rating_Weight_4,Rating_Weight_5,Rating_Weight_6,Rating_Weight_7,Rating_Weight_8,Rating_Weight_9,Rating_Weight_10,Rating_Weight_11,Ranking_Weight_1,Ranking_Weight_2,Ranking_Weight_3,Ranking_Weight_4,Ranking_Weight_5,Ranking_Weight_6,Ranking_Weight_7,Ranking_Weight_8,Ranking_Weight_9,Ranking_Weight_10,Ranking_Weight_11
R_3gLt0zRq7aSYq5G,Somewhat experienced: architecture student,2,3,3,1,2,5,2,3,6,2,2,7,8,2,3,6,1,4,10,5,9,11
R_3CDeiCFFwNR4ZqW,Somewhat experienced: architecture student,6,6,3,4,2,1,6,8,8,7,6,5,2,1,6,7,11,9,3,4,8,10
R_2P6FJ1fDAOPQZMh,Somewhat experienced: architecture student,3,2,3,3,4,6,4,2,5,3,5,9,8,10,5,11,2,3,7,6,4,1
R_294Cel4KObgj3Vr,Somewhat experienced: architecture student,7,7,4,2,3,2,7,4,5,9,8,3,4,5,8,11,1,7,6,9,2,10
R_559LcuFH2cWNmiR,Somewhat experienced: architecture student,3,6,5,2,2,NA,3,3,5,3,4,6,11,2,3,7,4,1,5,9,8,10
R_etDLz4q5DXiipb3,Somewhat experienced: architecture student,5,4,7,7,2,4,5,9,9,6,7,4,1,6,5,8,7,9,3,10,2,11
R_2eWnqLT1rIrtSu3,Somewhat experienced: architecture student,6,7,6,4,9,3,6,6,7,2,4,8,2,4,9,10,3,1,11,7,5,6
R_YQenSBVzBsFiWyt,Somewhat experienced: architecture student,4,3,6,3,6,9,7,4,4,2,6,4,9,3,8,11,6,10,2,5,1,7
R_3L5R55L6ipTkhF3,Very Experienced: architecture professional,7,8,5,6,9,7,8,8,7,4,8,2,6,3,7,4,5,8,11,9,10,1
R_2Y4bXMGxePC1Mni,Very Experienced: architecture professional,6,6,8,9,6,4,6,5,4,2,5,5,7,8,4,6,3,1,9,11,2,10
R_3fCsbYkcF5pRiW5,Very Experienced: architecture professional,7,7,6,8,4,8,5,3,7,6,6,4,3,10,1,7,2,11,9,5,6,8
R_1CaxqJW565HfXx4,Very Experienced: architecture professional,2,7,2,6,4,8,9,5,6,3,8,7,4,9,6,2,1,3,10,5,11,8
R_3emCnv9vgiPbjLP,Somewhat experienced: architecture student,8,9,10,7,8,9,8,9,8,9,8,5,1,8,4,10,7,9,6,3,11,2
R_1LcdOrSOFxg82Jj,Very Experienced: architecture professional,10,6,10,3,8,8,10,10,3,10,10,1,6,2,11,5,8,3,4,10,9,7
R_1pAJmMbI2gVskkd,Very Experienced: architecture professional,5,4,6,5,2,1,4,8,10,3,5,3,10,6,1,2,5,4,11,9,8,7
R_299U6PJN1nfdTZ0,Somewhat experienced: architecture student,2,5,3,6,9,1,2,1,4,6,4,7,2,5,10,1,9,8,3,4,6,11
R_2xWUlfhQ1C7EAn6,Somewhat experienced: architecture student,5,3,5,5,6,7,6,8,5,3,5,8,3,10,6,11,1,9,4,7,5,2
R_3MfAbaJ6ztQgUbI,No experience: no architectural or construction training,8,3,4,3,1,2,5,9,7,5,8,3,5,9,4,2,1,7,11,8,6,10
R_qwPovEWTF3a1225,Somewhat experienced: architecture student,3,4,8,4,1,3,8,10,7,6,2,4,6,9,1,3,8,10,11,7,5,2
R_yZVzblas9EEIlZ7,No experience: no architectural or construction training,6,7,7,7,7,6,8,9,6,7,7,4,9,5,1,6,8,2,11,10,3,7
R_bwQxue4CiQvmc0h,Very Experienced: architecture professional,9,9,9,9,8,9,9,10,9,9,9,9,2,8,5,7,11,6,4,10,3,1
R_UgOOz6RYskdQNgJ,Somewhat experienced: architecture student,8,8,8,8,8,8,8,10,8,8,8,7,8,4,10,11,6,3,5,9,2,1
R_8ivaGHklyA5Zytb,Very Experienced: architecture professional,10,10,10,10,10,10,10,10,10,10,10,11,1,9,8,6,5,3,2,4,10,7
R_6y9hzpXaXXswLjb,Somewhat experienced: architecture student,3,8,10,2,4,2,4,3,7,9,4,7,9,5,11,4,8,1,2,10,6,3
R_21AI941IdyEvsMn,Somewhat experienced: architecture student,6,7,7,6,5,3,5,6,3,3,4,1,5,3,7,11,4,2,8,9,6,10
R_Uy9c49gt7xyQAyl,Somewhat experienced: architecture student,5,6,8,7,9,4,5,8,3,5,7,1,2,3,11,7,10,9,6,4,5,8
R_3mb0yRDRwa9bL7j,Somewhat experienced: architecture student,4,6,3,4,5,3,6,3,6,5,7,8,6,9,2,1,10,11,5,3,4,7
R_qLquGV6sw9FZYkN,No experience: no architectural or construction training,5,5,1,5,6,5,4,5,7,5,8,4,6,1,3,7,2,10,5,8,9,11
R_2wMFzQvRGyInwLK,Somewhat experienced: architecture student,4,3,5,6,3,8,5,7,3,10,6,10,6,2,7,3,9,8,4,5,1,11
R_ZmDpWRn7xJAIyZP,Somewhat experienced: architecture student,5,4,7,5,6,7,5,6,8,9,8,5,2,3,4,9,10,8,1,7,11,6
R_3e9AqDtS24kfFn4,Somewhat experienced: architecture student,4,8,8,6,6,4,6,9,9,6,5,1,8,5,11,10,6,3,4,2,7,9
R_2TttCP5rel1JaKx,Somewhat experienced: architecture student,6,6,3,9,5,8,6,9,8,7,8,4,10,1,6,11,9,8,3,7,2,5
R_1daGV7XaJZclHjR,Somewhat experienced: architecture student,8,8,8,6,5,9,5,8,7,6,4,11,9,3,2,4,6,1,5,10,8,7
R_3J2eulX4Agh1P58,Somewhat experienced: architecture student,6,8,10,8,7,7,7,5,7,4,6,9,2,6,11,1,8,3,10,7,4,5
R_24eLLP9bJt9HQ7f,Very Experienced: architecture professional,6,4,6,6,4,8,5,6,5,9,5,3,9,7,6,5,4,1,2,10,8,11
R_3dFlrkgS5yQNA10,No experience: no architectural or construction training,5,7,3,8,3,6,9,3,6,6,3,4,6,11,10,3,1,9,5,7,2,8
R_1QcQT5xtVaGCjq6,Very Experienced: architecture professional,10,10,10,10,10,10,10,8,10,10,10,10,2,11,3,8,5,1,9,4,6,7
R_O3YSEFdOxZA2zpn,Somewhat experienced: architecture student,9,7,6,4,3,2,4,2,4,4,8,4,5,8,10,11,9,1,3,6,7,2
R_33EFNezOpLKbJca,Somewhat experienced: architecture student,9,6,5,5,3,4,2,4,3,6,8,2,6,3,10,1,8,4,5,9,7,11
R_0063VgFglxPfQMV,Somewhat experienced: architecture student,8,6,6,6,4,3,3,3,3,4,7,4,6,10,7,8,11,1,5,9,2,3
R_ZqKOUWqb6ldKni9,Somewhat experienced: architecture student,8,8,4,6,2,2,3,3,2,2,7,7,10,2,9,8,1,6,3,11,5,4
R_vOnuauLVl6t8tah,Somewhat experienced: architecture student,8,6,6,5,2,3,4,2,2,5,8,3,2,5,7,8,10,1,11,9,6,4
R_31ErExHz5KiSPV0,Somewhat experienced: architecture student,8,7,7,6,5,6,7,7,8,7,8,1,7,3,10,2,4,8,5,9,6,11
R_3MfjpdK1WYzRL7w,Somewhat experienced: architecture student,10,9,8,7,8,6,7,6,7,6,6,1,2,11,3,4,8,7,9,6,10,5
R_C8LAmp0SawH1KzD,Somewhat experienced: architecture student,8,7,7,6,5,5,2,2,2,2,3,7,11,4,2,8,10,9,6,5,3,1
R_1C2dbWNeGNLfpr2,Somewhat experienced: architecture student,9,7,6,7,8,5,4,5,6,3,4,8,11,2,9,7,3,1,5,6,10,4
R_116Ybo2QX85HkFk,Somewhat experienced: architecture student,5,4,6,2,9,4,8,1,5,4,4,8,6,2,7,5,3,4,9,10,1,11
R_3fZTzA3nD78IDlG,Very Experienced: architecture professional,7,4,6,3,5,1,9,5,8,4,3,2,6,3,7,9,11,1,5,4,8,10
R_263gun3nsWIFGCz,Somewhat experienced: architecture student,8,9,9,8,8,8,9,6,8,8,10,4,11,5,7,6,9,10,1,3,2,8
R_1LccrtLbgoSBXTs,Somewhat experienced: architecture student,8,8,9,9,6,3,9,10,9,6,4,1,10,2,4,8,9,3,7,5,6,11
R_5hwEVAH7EKVpwPv,Somewhat experienced: architecture student,7,6,7,8,7,4,9,10,NA,7,6,3,11,1,4,7,9,2,5,6,8,10
R_23T82aaiceu9zFL,Somewhat experienced: architecture student,8,7,7,7,5,7,4,9,10,7,NA,1,10,5,4,11,7,2,3,6,8,9
R_1QzsnzqgkYRfOM8,Somewhat experienced: architecture student,8,7,7,7,7,7,7,9,8,7,7,4,2,6,8,11,3,7,1,10,5,9
R_3dK3PHsinAajgiC,Somewhat experienced: architecture student,8,4,9,9,4,4,8,9,9,7,5,1,8,6,5,9,11,3,2,4,7,10
R_10TyNH5BgDcNgmX,Very Experienced: architecture professional,8,5,9,9,8,NA,9,10,9,6,6,6,8,4,5,10,9,1,3,2,7,11
R_3lxF8WSGVUbq0eP,Somewhat experienced: architecture student,7,7,7,8,7,8,8,7,6,7,8,1,8,6,9,5,3,7,11,4,2,10
R_2xyfrljnZpYQg2i,Somewhat experienced: architecture student,4,3,5,6,4,6,7,5,6,7,4,1,8,7,6,9,10,2,4,3,11,5
R_3I6Qa4NffhL0d7c,Somewhat experienced: architecture student,8,4,8,7,8,9,7,8,9,8,3,1,7,2,5,9,11,8,4,3,6,10
R_4Vi6Bny8qFlyxKV,Somewhat experienced: architecture student,7,4,8,8,6,7,9,8,9,7,4,1,11,5,4,8,9,2,3,6,7,10
R_2fD5JcAiPv83Z5I,Somewhat experienced: architecture student,5,6,4,7,4,7,5,6,5,4,NA,6,2,9,10,5,1,8,7,11,3,4
R_3GwXKOday762eV3,Somewhat experienced: architecture student,8,5,8,8,5,4,9,9,8,6,6,4,7,2,6,11,8,3,1,5,10,9
R_rcMCITRlc3qYHVD,Very Experienced: architecture professional,9,6,9,9,6,NA,10,9,10,7,5,3,9,4,7,11,8,2,1,5,6,10
R_2UVJIOOrtXgVJe7,Somewhat experienced: architecture student,8,6,6,9,5,8,5,7,6,6,6,3,10,6,1,2,8,9,4,7,5,11
R_1rB7JqrxAeSMXmy,Very Experienced: architecture professional,5,6,6,5,5,5,5,5,5,5,6,9,2,11,10,8,3,7,4,1,6,5
R_2dsWcBtmoxGPTkA,Very Experienced: architecture professional,5,5,6,6,5,4,7,6,6,4,5,3,6,10,11,9,1,2,7,4,8,5
R_279eQD81fZwRglL,Somewhat experienced: architecture student,6,5,4,5,5,6,5,4,4,5,6,4,6,10,5,9,11,7,8,2,1,3
R_3h5hk3dmuDlu1Wa,Somewhat experienced: architecture student,5,5,6,4,4,6,4,5,7,6,5,9,5,6,11,3,1,10,7,8,2,4
R_28HEH8ox2dX2iR5,Somewhat experienced: architecture student,6,4,4,4,5,5,6,6,5,5,6,9,8,10,11,4,1,6,7,5,3,2
R_UznsTU03rRgUC8p,Somewhat experienced: architecture student,4,5,5,6,6,6,6,6,6,6,4,9,7,10,6,5,1,2,11,8,4,3
R_2v0oqH2bwfrF1s4,Very Experienced: architecture professional,8,9,9,10,9,10,6,8,7,9,9,11,4,7,1,3,5,8,9,2,6,10
R_1fkoaBCUKmO1e4i,Somewhat experienced: architecture student,6,6,6,4,6,6,7,6,6,7,6,8,4,6,7,1,11,3,9,5,2,10
R_1PZCV3cUXJDsmq0,Very Experienced: architecture professional,10,8,9,8,10,10,10,10,5,4,10,3,7,9,8,6,1,2,4,11,10,5
R_xo5yuePsHcwvxId,Very Experienced: architecture professional,6,7,9,10,8,7,9,7,9,5,7,4,7,6,10,1,8,2,5,3,11,9
R_1ln1N1qExrHURea,Somewhat experienced: architecture student,3,6,5,4,7,5,3,6,7,7,7,3,6,4,11,1,10,2,5,9,7,8
R_RCaLmfWIMdJh6rT,Somewhat experienced: architecture student,3,6,5,4,6,7,7,6,7,6,7,5,11,2,6,1,10,8,7,3,9,4
R_2TA9QiCd5gfkaHC,Somewhat experienced: architecture student,4,4,5,5,7,6,6,6,7,7,7,10,11,8,1,2,5,4,6,3,9,7
R_2uO5NyirW6rCRqy,Somewhat experienced: architecture student,6,5,5,6,6,7,7,6,6,6,6,3,4,8,7,2,1,11,6,10,9,5
R_1pxKBUEsqqOPDCE,Somewhat experienced: architecture student,6,5,5,5,5,5,5,5,5,5,5,9,2,6,11,3,5,1,4,7,8,10
R_2TuxizajzVqGRdb,Very Experienced: architecture professional,6,7,7,3,4,5,5,5,8,4,8,11,3,6,9,7,1,8,10,5,2,4
R_2YE5t30pTpftjbC,Very Experienced: architecture professional,6,5,8,5,7,6,6,7,6,7,8,1,10,7,8,4,5,6,11,3,2,9
R_2rVJhrxO4eCoOt1,Very Experienced: architecture professional,8,8,8,6,8,4,6,4,7,4,8,3,10,8,5,11,9,4,1,2,6,7
R_32R2DjBbrtxzJe7,Somewhat experienced: architecture student,7,7,6,4,6,6,7,4,4,3,5,6,4,5,2,10,7,11,3,8,1,9
R_3iQrnkOaPuhHyt6,Somewhat experienced: architecture student,6,5,6,6,7,7,3,8,3,4,4,11,7,10,5,4,9,2,1,8,3,6
R_3nMY8cQhjhfyvvk,Somewhat experienced: architecture student,6,5,7,7,6,8,7,5,6,5,6,6,2,5,11,4,1,8,10,9,3,7
R_1Q9QkwR5W2Lvosy,No experience: no architectural or construction training,6,7,8,7,6,7,5,6,8,6,7,7,2,6,5,4,10,3,8,1,9,11
R_2czUUgjc6vrUds2,Very Experienced: architecture professional,6,6,7,4,8,5,8,8,5,4,8,8,7,6,5,2,3,9,11,4,1,10
R_1kXGlDiUGkSH66a,Very Experienced: architecture professional,7,8,5,8,8,8,8,5,6,9,3,6,9,3,8,4,10,5,11,1,2,7
R_2R7yOaKaBXMSUDc,Somewhat experienced: architecture student,8,8,6,6,6,5,6,8,4,4,6,9,3,11,8,10,2,6,5,7,4,1
R_2qmyJQVzfeQkzqi,Somewhat experienced: architecture student,7,7,8,7,7,8,4,5,7,4,4,9,7,3,4,8,6,10,2,5,11,1
R_D2CPGkchG4pRBHr,Very Experienced: architecture professional,4,3,5,5,8,4,3,5,2,3,5,8,7,6,9,5,11,3,1,4,10,2
R_pF370QsHUduMJvb,Very Experienced: architecture professional,6,7,3,8,8,4,4,4,5,2,6,6,2,8,10,3,9,4,1,7,11,5
R_TnOCfQpHODYAAOl,Somewhat experienced: architecture student,3,4,3,7,6,5,4,4,4,4,4,11,2,1,5,6,8,10,4,9,3,7
R_1Km6mpsw2a0GDrB,Somewhat experienced: architecture student,4,4,5,4,4,4,3,4,6,7,7,10,3,1,6,11,4,8,2,5,9,7
R_3maCdHMfoeoSyrS,Very Experienced: architecture professional,4,3,7,4,6,8,5,5,3,4,4,10,2,3,11,5,6,8,7,4,1,9
